"regional_code","common_name_en","common_name_fr","scientific_name","aphia_id","count_of_occurrences_in_db"
10,"COD(ATLANTIC)",NA,"GADUS MORHUA",126436,1872
11,"HADDOCK",NA,"MELANOGRAMMUS AEGLEFINUS",126437,2721
12,"WHITE HAKE",NA,"UROPHYCIS TENUIS",126504,1478
13,"SQUIRREL OR RED HAKE",NA,"UROPHYCIS CHUSS",126503,1331
14,"SILVER HAKE",NA,"MERLUCCIUS BILINEARIS",158962,2611
15,"CUSK",NA,"BROSME BROSME",126447,119
16,"POLLOCK",NA,"POLLACHIUS VIRENS",126441,1195
17,"TOMCOD(ATLANTIC)",NA,"MICROGADUS TOMCOD",158928,39
19,"OFF-SHORE HAKE",NA,"MERLUCCIUS ALBIDUS",158748,88
23,"REDFISH UNSEPARATED",NA,"SEBASTES",126175,2124
25,"TILE FISH",NA,"LOPHOLATILUS CHAMAELEONTICEPS",159406,1
28,NA,NA,"NEALOTUS TRIPES",126864,2
30,"HALIBUT(ATLANTIC)",NA,"HIPPOGLOSSUS HIPPOGLOSSUS",127138,934
31,"TURBOT,GREENLAND HALIBUT",NA,"REINHARDTIUS HIPPOGLOSSOIDES",127144,525
38,"SWALLOWERS",NA,"PSEUDOSCOPELUS",125958,1
39,"BLACK SWALLOWER",NA,"CHIASMODON NIGER",126840,15
40,"AMERICAN PLAICE",NA,"HIPPOGLOSSOIDES PLATESSOIDES",127137,2275
41,"WITCH FLOUNDER",NA,"GLYPTOCEPHALUS CYNOGLOSSUS",127136,2018
42,"YELLOWTAIL FLOUNDER",NA,"LIMANDA FERRUGINEA",158879,1384
43,"WINTER FLOUNDER",NA,"PSEUDOPLEURONECTES AMERICANUS",158885,897
44,"GULF STREAM FLOUNDER",NA,"CITHARICHTHYS ARCTIFRONS",158791,293
49,"FLOUNDER UNIDENTIFIED",NA,"PLEURONECTIDAE",125579,1
50,"STRIPED ATLANTIC WOLFFISH",NA,"ANARHICHAS LUPUS",126758,477
51,"SPOTTED WOLFFISH",NA,"ANARHICHAS MINOR",126759,8
52,"NORTHERN WOLFFISH",NA,"ANARHICHAS DENTICULATUS",126757,15
60,"HERRING(ATLANTIC)",NA,"CLUPEA HARENGUS",126417,2199
61,"SHAD AMERICAN",NA,"ALOSA SAPIDISSIMA",158670,329
62,"ALEWIFE",NA,"ALOSA PSEUDOHARENGUS",158669,572
63,"RAINBOW SMELT",NA,"OSMERUS MORDAX",126737,38
64,"CAPELIN",NA,"MALLOTUS VILLOSUS",126735,232
65,"SALMON(ATLANTIC)",NA,"SALMO SALAR",127186,1
70,"MACKEREL(ATLANTIC)",NA,"SCOMBER SCOMBRUS",127023,352
72,"SWORDFISH",NA,"XIPHIAS GLADIUS",127094,1
88,"PILOTFISH",NA,"NAUCRATES DUCTOR",126811,1
89,"BIGEYE SCAD",NA,"SELAR CRUMENOPHTHALMUS",159646,1
90,"UNID. FISH (OSTEICHTHYES)",NA,"OSTEICHTHYES",152352,2
92,"GREATER AMBERJACK",NA,"SERIOLA DUMERILI",126816,1
94,"ATLANTIC MOONFISH (WAS VOMER)",NA,"SELENE SETAPINNIS",159647,3
109,"DAINTY MORA",NA,"HALARGYREUS JOHNSONII",126489,3
110,"ARCTIC COD",NA,"BOREOGADUS SAIDA",126433,1
111,"SPOTTED HAKE",NA,"UROPHYCIS REGIA",158991,11
112,"LONGFIN HAKE",NA,"PHYCIS CHESTERI",158988,383
113,"BLUE ANTIMORA/HAKE",NA,"ANTIMORA ROSTRATA",126486,34
114,"FOURBEARD ROCKLING",NA,"ENCHELYOPUS CIMBRIUS",126450,350
115,"THREEBEARD ROCKLING",NA,"GAIDROPSARUS ENSIS",126453,8
116,"SILVER ROCKLING",NA,"GAIDROPSARUS ARGENTATUS",126451,4
118,"GREENLAND COD",NA,"GADUS MACROCEPHALUS",254538,3
122,"CUNNER",NA,"TAUTOGOLABRUS ADSPERSUS",159785,85
123,"ROSEFISH(BLACK BELLY)",NA,"HELICOLENUS DACTYLOPTERUS",127251,448
135,NA,NA,"HYGOPHUM HYGOMII",126603,4
138,"MIRROR LANTERNFISH",NA,"LAMPADENA SPECULIGERA",126608,19
140,"SMOOTH FLOUNDER",NA,"PLEURONECTES PUTNAMI",305774,1
141,"SUMMER FLOUNDER",NA,"PARALICHTHYS DENTATUS",158826,5
142,"FOURSPOT FLOUNDER",NA,"HIPPOGLOSSINA OBLONGA",158833,109
143,"BRILL/WINDOWPANE",NA,"SCOPHTHALMUS AQUOSUS",158907,89
146,NA,NA,"LAMPANYCTUS MACDONALDI",126617,40
147,NA,NA,"LAMPANYCTUS PUSILLUS",126619,1
149,"LONGNOSE GREENEYE",NA,"PARASUDIS TRUCULENTA",158868,42
150,"LANTERNFISH (NS)",NA,"MYCTOPHIDAE",125498,191
