STRAP-IML,nom_en,nom_fr,verbatimIdentification,aphiaID,scientificName,aphiaID_corr,lifeStage,Occurrences_2004-2022,taxonRank,occurenceRemarks,identificationRemarks,taxonomicRemarks,note_CN,name_sugg,STRAP-IML_sugg
1,Vertebrates (Vertebrata),Vertébrés (Vertebrata),Vertebrata,146419,Actinopteri,843664,,10,Class,,unknown bony fishes,,poissons osseux inconnu,Actinopteri,1
13,mud hagfish,myxine de vase,Myxine limosa,271309,Myxine limosa,271309,,1794,Species,,,,était Myxine glutinosa (Europe),Myxine limosa,13
15,Sea Lamprey,Lamproie marine,Petromyzon marinus,101174,Petromyzon marinus,101174,,5,Species,,,,pélagique - rare,Petromyzon marinus,15
20,Greenland Shark,Laimargue atlantique,Somniosus microcephalus,105919,Somniosus microcephalus,105919,,2,Species,,,,1 autre en photos,Somniosus microcephalus,20
24,Spiny Dogfish,Aiguillat commun,Squalus acanthias,105923,Squalus acanthias,105923,,13,Species,,,,pélagique - rare,Squalus acanthias,24
27,Black Dogfish,Aiguillat noir,Centroscyllium fabricii,105906,Centroscyllium fabricii,105906,,421,Species,,,,,Centroscyllium fabricii,27
80,Skate (Rajiformes),Raie (Rajiformes),Rajiformes,10216,Rajiformes,10216,,10,Order,not likely to be used,,,"était des Rajidae pas confirmé en 2004, n'est plus utile",Rajiformes,80
88,Skate (Rajidae),Raie (Rajidae),Rajidae,105711,Rajidae,105711,,1,Family,incertain,,,photo ou pas fiable,Rajidae,88
90,Thorny Skate,Raie épineuse,Amblyraja radiata,105865,Amblyraja radiata,105865,,2579,Species,,,,,Amblyraja radiata,90
91,Smooth Skate,Raie lisse (à queue de velours),Malacoraja senta,158554,Malacoraja senta,158554,,2032,Species,,,,,Malacoraja senta,91
94,Round Skate,Raie ronde,Rajella fyllae,105894,Rajella fyllae,105894,,19,Species,,,,photo et faire sp ou pas fiable,Rajella fyllae,94
100,Winter Skate,Raie tachetée,Leucoraja ocellata,158553,Leucoraja ocellata,158553,,4,Species,2 kinds in region: small and large,often confused with other skate species,,photo et faire sp ou pas fiable,Leucoraja ocellata,100
102,Spinytail Skate,Raie à queue épineuse,Bathyraja spinicauda,105868,Bathyraja spinicauda,105868,,56,Species,,,,,Bathyraja spinicauda,102
150,Atlantic Herring,Hareng atlantique,Clupea harengus,126417,Clupea harengus,126417,,1747,Species,,,,,Clupea harengus,150
152,American Shad,Alose savoureuse,Alosa sapidissima,158670,Alosa sapidissima,158670,,2,Species,juvveniles,,,photo ou pas fiable,Alosa sapidissima,152
168,Bluntsnout Smoothhead,Gymnaste atlantique,Xenodermichthys copei,126714,Xenodermichthys copei,126714,,5,Species,,,,photo ou pas fiable,Xenodermichthys copei,168
187,Capelin (M. villosus),Capelan (M. villosus),Mallotus villosus,126735,Mallotus villosus,126735,,1892,Species,,,,,Mallotus villosus,187
188,Rainbow Smelt,Éperlan arc-en-ciel,Osmerus mordax,126737,Osmerus mordax,126737,,2,Species,,,,photo ou pas fiable,Osmerus mordax,188
193,Atlantic Argentine,Grande argentine,Argentina silus,126715,Argentina silus,126715,,165,Species,,,,,Argentina silus,193
202,Goitre Blacksmelt,Garcette-goitre,Bathylagus euryops,126719,Bathylagus euryops,126719,,1,Species,,,,photo ou pas fiable,Bathylagus euryops,202
205,Bristlemouths  (Gonostomatidae),Cyclothones (Gonostomatidae),Gonostomatidae,125601,Gonostomatidae,125601,,37,Family,likely errors,,,"erreurs en passé, sont tous code 208 ou 278 (PAS Gonostomatidae)",Gonostomatidae,205
208,Veiled Anglemouth,Cyclothone à petites dents,Cyclothone microdon,127286,Cyclothone microdon,127286,,58,Species,,,,photo ou pas fiable,Cyclothone microdon,208
214,Mueller's Pearlside,Margerite perlée,Maurolicus muelleri,127312,Maurolicus muelleri,127312,,2,Species,,,,photo ou pas fiable,Maurolicus muelleri,214
220,Hatchetfishes (Sternoptychidae),Haches (Sternoptychidae),Sternoptychidae,125603,Sternoptychidae,125603,,4,Family,,,,photo ou pas fiable,Sternoptychidae,220
222,Slope Hachetfish (P. clarus),Hache (P. clarus),Polyipnus clarus,158840,Polyipnus clarus,158840,,30,Species,,,,photo ou pas fiable,Polyipnus clarus,222
225,Greater Silver Hatchetfish,Grande hache d'argent,Argyropelecus gigas,127308,Argyropelecus gigas,127308,,5,Species,,,,photo ou pas fiable,Argyropelecus gigas,225
227,Sloane's Viperfish,Chauliode très lumineux,Chauliodus sloani,127338,Chauliodus sloani,127338,,9,Species,,,,photo ou pas fiable,Chauliodus sloani,227
230,Boa Dragonfish,Dragon-boa,Stomias boa boa,234601,Stomias boa,127374,,7,Species,Stomias boa ferox in North Atlantic,,,"est Stomias boa ferox, pas Stomias boa boa ici",Stomias boa ferox,236
234,Straightline Dragonfish,Dragon-saumon à grands yeux,Borostomias antarcticus,127334,Borostomias antarcticus,127334,,1,Species,,,,photo ou pas fiable,Borostomias antarcticus,234
244,Ligthfishes (P. thaeocoryla),Poisson lumineux (P. thaeocoryla),Polymetme thaeocoryla,127301,Polymetme thaeocoryla,127301,,5,Species,,,,photo ou pas fiable,Polymetme thaeocoryla,244
271,Deepwater Fishes,Poissons des profondeurs,Myctophiformes,10309,Myctophiformes,10309,,17,Order,,placeholder name for Notoscopelus kroyeri,,photo et faire Notoscopelus kroyeri ou Lampanyctinae,Myctophiformes,271
272,Lanternfishes (Myctophidae),Poissons-lanterne (Myctophidae),Myctophidae,125498,Myctophidae,125498,,296,Family,placeholder for some kinds,,,photo et conserve ou Myctophinae,Myctophidae,272
273,Common Lanternfish (Notoscopelus sp.),Lanterne (Notoscopelus sp.),Notoscopelus sp.,125831,Notoscopelus,125831,,9,Genus,expect 1 species,often confused with others,,photo et faire sp, , 
275,Kroyer's Lanternfish,Lanterne-voilière nordique,Notoscopelus kroyeri,272728,Notoscopelus kroyeri,272728,,63,Species,,,,photo ou pas fiable,Notoscopelus kroyeri,275
278,Glowingfish,Lanterne à grandes écailles,Neoscopelus macrolepidotus,126634,Neoscopelus macrolepidotus,126634,,28,Species,,,,photo ou pas fiable,Neoscopelus macrolepidotus,278
281,Spotted Lanternfish,Lanterne ponctuée,Myctophum punctatum,126627,Myctophum punctatum,126627,,3,Species,,,,photo et conserve ou Myctophinae,Myctophum punctatum,281
285,Mirror Lanternfish,Lanterne-miroir,Lampadena speculigera,126608,Lampadena speculigera,126608,,7,Species,,,,photo ou pas fiable,Lampadena speculigera,285
290,Glacier Lanternfish,Lanterne glacière,Benthosema glaciale,126580,Benthosema glaciale,126580,,41,Species,,,,photo et conserve ou Myctophinae,Benthosema glaciale,290
304,Lightless Loosejaw,Drague sans lampe,Malacosteus niger,127358,Malacosteus niger,127358,,2,Species,,,,,Malacosteus niger,304
320,White Barracudina,Lussion blanc,Arctozenus risso,126352,Arctozenus risso,126352,,1749,Species,,,,,Arctozenus risso,320
368,Atlantic Snipe Eel,Avocette ruban,Nemichthys scolopaceus,126306,Nemichthys scolopaceus,126306,,19,Species,,,,,Nemichthys scolopaceus,368
369,Stout Sawpalate,Serrivomer trapu,Serrivomer beanii,126319,Serrivomer beanii,126319,,6,Species,,,,,Serrivomer beanii,369
373,Northern Cutthroat Eel,Anguille égorgée bécuée,Synaphobranchus kaupii,126328,Synaphobranchus kaupii,126328,,15,Species,,,,,Synaphobranchus kaupii,373
398,Atlantic Saury (S. saurus),Balaou (S. saurus),Scomberesox saurus saurus,236461,Scomberesox saurus,126392,,27,Species,,,,,Scomberesox saurus,398
422,Sticklebacks (Gasterosteidae),Épinoches (Gasterosteidae),Gasterosteidae,125476,Gasterosteus aculeatus,125476,,1,Species,,,,photo et faire sp, , 
426,Threespine Stickleback,Épinoche à trois épines,Gasterosteus aculeatus,126505,Gasterosteus aculeatus,126505,,103,Species,,,,,Gasterosteus aculeatus,426
430,Codfish (Gadiformes),Gadoide (Gadiformes),Gadiformes,10313,Gadiformes,10313,,1,Order,not likely to be used,,,photo et conserve,Gadiformes,430
436,Codfishes (Gadidae),Gadidés  (Gadidae),Gadidae,125469,Gadidae,125469,,6,Family,small ones,,,photo et conserve,Gadidae,436
437,Atlantic or Greenland cod (Gadus sp.),Morue ou ogac (Gadus sp.),Gadus sp.,125732,Gadus,125732,,1,Genus,small ones,,,photo et conserve,Gadus,437
438,Atlantic Cod (G. morhua),Morue franche (G. morhua),Gadus morhua,126436,Gadus morhua,126436,,1828,Species,,,,,Gadus morhua,438
439,Greenland Cod (G. ogac),"Ogac, morue ogac (G. ogac)",Gadus ogac,254538,Gadus ogac,254538,,118,Species,Arctic-Atlantic variety distinct from Pacific Cod,,under revision,,Gadus ogac,439
440,Blue Whiting,Poutassou,Micromesistius poutassou,126439,Micromesistius poutassou,126439,,1,Species,,,,,Micromesistius poutassou,440
441,Haddock,Aiglefin,Melanogrammus aeglefinus,126437,Melanogrammus aeglefinus,126437,,47,Species,,,,,Melanogrammus aeglefinus,441
442,Atlantic Tomcod,Poulamon atlantique,Microgadus tomcod,158928,Microgadus tomcod,158928,,1,Species,,,,,Microgadus tomcod,442
443,Pollock,Goberge,Pollachius virens,126441,Pollachius virens,126441,,26,Species,,,,,Pollachius virens,443
444,Longfin Hake,Merluche à longues nageoires,Phycis chesteri,158988,Phycis chesteri,158988,,696,Species,,,,,Phycis chesteri,444
447,White Hake,Merluche blanche,Urophycis tenuis,126504,Urophycis tenuis,126504,,1354,Species,,,,,Urophycis tenuis,447
449,Silver Hake,Merlu argenté,Merluccius bilinearis,158962,Merluccius bilinearis,158962,,855,Species,,,,,Merluccius bilinearis,449
451,Arctic Cod,Saïda franc (Morue arctique),Boreogadus saida,126433,Boreogadus saida,126433,,399,Species,,,,,Boreogadus saida,451
453,Threebeard Rocklings  (Gaidropsarus sp.),Mustèles (Gaidropsarus sp.),Gaidropsarus sp.,125743,Gaidropsarus,125743,,14,Genus,likely errors,,,photo et faire Enchelyopus cimbrius, , 
