"regional_code","common_name_en","common_name_fr","scientific_name","aphia_id","count_of_occurrences_in_db"
40,"American plaice","Plie canadienne","Hippoglossoides platessoides",127137,3017
2100,"Decapod unidentified",NA,"Decapoda (o.)",1130,2816
2526,"Snow crab","Crabe des neiges","Chionoecetes opilio",107315,2651
10,"Atlantic cod","Morue franche","Gadus morhua",126436,2494
6400,"Sea urchin unidentified",NA,"Strongylocentrotus sp.",123390,2311
2212,"Aesop shrimp",NA,"Pandalus montagui",107651,2292
9300,"Seaweed/Algae/Kelp unidentified",NA,"Obsolete",NA,2262
2411,"Arctic argid","Crevette verte","Argis dentata",107550,1916
9630,"Organic debris",NA,NA,NA,1911
2521,"Arctic Lyre Crab/Lesser toad crab","Crabe lyre (arctique)","Hyas coarctatus",107323,1902
6300,"Basket star unidentified",NA,"Euryalida (f.)",242196,1888
6123,"Red spiny sunstar",NA,"Crossaster papposus",124154,1845
9200,"Stones/Rocks","Pierres/roches",NA,NA,1838
8300,"Anthozoa unidentified",NA,"Anthozoa (c.)",1292,1738
64,"Capelin","Capelan","Mallotus villosus",126735,1729
1823,"Sea potato","Patate de mer","Boltenia sp.",103514,1645
42,"Yellowtail flounder",NA,"Limanda ferruginea",158879,1545
2421,"Sevenline shrimp","Crevette","Sabinea septemcarinata",107567,1531
6200,"Brittle star unidentified",NA,"Ophiuroidea (c.)",123084,1530
3100,"Bristle worm unidentified",NA,"Polychaeta (c.)",883,1478
2560,"Hermit crab species",NA,"Pagurus",106854,1428
8500,"Jellyfish unidentified",NA,"Scyphozoa (c.)",135220,1389
6500,"Sand dollar unidentified",NA,"Clypeasteroida (o.)",123100,1386
623,"Daubed shanny",NA,"Leptoclinus maculatus",127072,1381
60,"Atlantic herring","Hareng atlantique","Clupea harengus",126417,1370
340,"Alligatorfish","Poisson-alligator atlantique","Aspidophoroides monopterygius",159459,1338
4348,"Mollusc unidentified empty",NA,"Mollusca sp. empty",NA,1312
6119,"Fat blood star",NA,"Henricia sanguinolenta",123974,1267
2331,"Greenland shrimp","Bouc du Groenland","Eualus macilentus",158359,1224
8324,"Sea strawberry coral","Framboise de mer","Gersemia rubiformis",156103,1222
2211,"Northern shrimp","Crevette nordique","Pandalus borealis",107649,1162
2333,"Circumpolar shrimp","Bouc","Eualus gaimardii",107504,1132
2527,"Atlantic lyre crab/Greater toad crab",NA,"Hyas araneus",107322,1127
4000,"Mollusc unidentified",NA,"Mollusca (p.)",51,1121
1510,"Eggs - Whelk",NA,"Buccinidae sp. eggs",NA,1107
304,"Moustache sculpin",NA,"Triglops murrayi",127205,1004
43,"Winter flounder","Plie rouge","Pseudopleuronectes americanus",158885,948
