regional_code,common_name_en,common_name_fr,scientific_name,aphia_ID,count_of_occurrences_in_db
1,Vertebrates (Vertebrata),Vertébrés (Vertebrata),Vertebrata,146419,10
13,mud hagfish,myxine de vase,Myxine limosa,271309,1794
15,Sea Lamprey,Lamproie marine,Petromyzon marinus,101174,5
20,Greenland Shark,Laimargue atlantique,Somniosus microcephalus,105919,2
24,Spiny Dogfish,Aiguillat commun,Squalus acanthias,105923,13
27,Black Dogfish,Aiguillat noir,Centroscyllium fabricii,105906,421
48,Basking shark,requin pélerin,Cetorhinus maximus,,3
80,Skate (Rajiformes),Raie (Rajiformes),Rajiformes,10216,10
88,Skate (Rajidae),Raie (Rajidae),Rajidae,105711,1
90,Thorny Skate,Raie épineuse,Amblyraja radiata,105865,2579
91,Smooth Skate,Raie lisse (à queue de velours),Malacoraja senta,158554,2032
94,Round Skate,Raie ronde,Rajella fyllae,105894,19
100,Winter Skate,Raie tachetée,Leucoraja ocellata,158553,4
102,Spinytail Skate,Raie à queue épineuse,Bathyraja spinicauda,105868,56
150,Atlantic Herring,Hareng atlantique,Clupea harengus,126417,1747
152,American Shad,Alose savoureuse,Alosa sapidissima,158670,2
168,Bluntsnout Smoothhead,Gymnaste atlantique,Xenodermichthys copei,126714,5
187,Capelin (M. villosus),Capelan (M. villosus),Mallotus villosus,126735,1892
188,Rainbow Smelt,Éperlan arc-en-ciel,Osmerus mordax,126737,2
193,Atlantic Argentine,Grande argentine,Argentina silus,126715,165
202,Goitre Blacksmelt,Garcette-goitre,Bathylagus euryops,126719,1
205,Bristlemouths  (Gonostomatidae),Cyclothones (Gonostomatidae),Gonostomatidae,125601,37
208,Veiled Anglemouth,Cyclothone à petites dents,Cyclothone microdon,127286,58
214,Mueller's Pearlside,Margerite perlée,Maurolicus muelleri,127312,2
220,Hatchetfishes (Sternoptychidae),Haches (Sternoptychidae),Sternoptychidae,125603,4
222,Slope Hachetfish (P. clarus),Hache (P. clarus),Polyipnus clarus,158840,30
225,Greater Silver Hatchetfish,Grande hache d'argent,Argyropelecus gigas,127308,5
227,Sloane's Viperfish,Chauliode très lumineux,Chauliodus sloani,127338,9
230,Boa Dragonfish,Dragon-boa,Stomias boa boa,234601,7
234,Straightline Dragonfish,Dragon-saumon à grands yeux,Borostomias antarcticus,127334,1
244,Ligthfishes (P. thaeocoryla),Poisson lumineux (P. thaeocoryla),Polymetme thaeocoryla,127301,5
271,Deepwater Fishes,Poissons des profondeurs,Myctophiformes,10309,17
272,Lanternfishes (Myctophidae),Poissons-lanterne (Myctophidae),Myctophidae,125498,296
273,Common Lanternfish (Notoscopelus sp.),Lanterne (Notoscopelus sp.),Notoscopelus sp.,125831,9
275,Kroyer's Lanternfish,Lanterne-voilière nordique,Notoscopelus kroyeri,272728,63
278,Glowingfish,Lanterne à grandes écailles,Neoscopelus macrolepidotus,126634,28
281,Spotted Lanternfish,Lanterne ponctuée,Myctophum punctatum,126627,3
285,Mirror Lanternfish,Lanterne-miroir,Lampadena speculigera,126608,7
290,Glacier Lanternfish,Lanterne glacière,Benthosema glaciale,126580,41
304,Lightless Loosejaw,Drague sans lampe,Malacosteus niger,127358,2
320,White Barracudina,Lussion blanc,Arctozenus risso,126352,1749
368,Atlantic Snipe Eel,Avocette ruban,Nemichthys scolopaceus,126306,19
369,Stout Sawpalate,Serrivomer trapu,Serrivomer beanii,126319,6
373,Northern Cutthroat Eel,Anguille égorgée bécuée,Synaphobranchus kaupii,126328,15
398,Atlantic Saury (S. saurus),Balaou (S. saurus),Scomberesox saurus saurus,236461,27
422,Sticklebacks (Gasterosteidae),Épinoches (Gasterosteidae),Gasterosteidae,125476,1
426,Threespine Stickleback,Épinoche à trois épines,Gasterosteus aculeatus,126505,103
430,Codfish (Gadiformes),Gadoide (Gadiformes),Gadiformes,10313,1
436,Codfishes (Gadidae),Gadidés  (Gadidae),Gadidae,125469,6
437,Atlantic or Greenland cod (Gadus sp.),Morue ou ogac (Gadus sp.),Gadus sp.,125732,1
438,Atlantic Cod (G. morhua),Morue franche (G. morhua),Gadus morhua,126436,1828
439,Greenland Cod (G. ogac),"Ogac, morue ogac (G. ogac)",Gadus ogac,254538,118
440,Blue Whiting,Poutassou,Micromesistius poutassou,126439,1
441,Haddock,Aiglefin,Melanogrammus aeglefinus,126437,47
442,Atlantic Tomcod,Poulamon atlantique,Microgadus tomcod,158928,1
443,Pollock,Goberge,Pollachius virens,126441,26
444,Longfin Hake,Merluche à longues nageoires,Phycis chesteri,158988,696
447,White Hake,Merluche blanche,Urophycis tenuis,126504,1354
449,Silver Hake,Merlu argenté,Merluccius bilinearis,158962,855
451,Arctic Cod,Saïda franc (Morue arctique),Boreogadus saida,126433,399
453,Threebeard Rocklings  (Gaidropsarus sp.),Mustèles (Gaidropsarus sp.),Gaidropsarus sp.,125743,14
454,Threebeard Rockling,Mustèle arctique à trois barbillons,Gaidropsarus ensis,126453,8
455,"Silver Rockling, Arctic Threebearded Rockling",Mustèle argentée,Gaidropsarus argentatus,126451,13
461,Fourbeard Rockling,Motelle à quatre barbillons,Enchelyopus cimbrius,126450,2083
471,Grenadier (Macrouridae),Grenadier (Macrouridae),Macrouridae,125471,9
478,Common Grenadier,Grenadier du grand Banc,Nezumia bairdii,183289,1715
484,American Straptail Grenadier,Queue-de-rat d'Amérique,Malacocephalus occidentalis,158741,2
527,Rosy Soldierfish,Poisson-montre,Hoplostethus mediterraneus mediterraneus,159409,3
572,Atlantic Mackerel (S. scombrus),Maquereau bleu (S. scombrus),Scomber scombrus,127023,322
614,Greateyes (Epigonus sp.),Grands yeux (Epigonus sp.),Epigonus sp.,125967,1
618,Big Eye,Cardinal (E. pandionis),Epigonus pandionis,159706,9
694,Northern Sand Lance,Lançon du nord,Ammodytes dubius,151520,2
695,American Sand Lance,Lançon d'Amérique,Ammodytes americanus,159587,7
696,Sand Lances (Ammodytes sp.),Lançons (Ammodytes sp.),Ammodytes sp.,125909,295
699,Northern Wolffish,Loup à tÍte large,Anarhichas denticulatus,126757,1
700,Atlantic Wolffish,Loup atlantique,Anarhichas lupus,126758,644
701,Spotted Wolffish,Loup tacheté,Anarhichas minor,126759,159
702,Wolffishes (Anarhichas sp.),Loups (Anarhichas sp.),Anarhichas sp.,125912,1
705,Rock Gunnel,Sigouine de roche,Pholis gunnellus,126996,1
709,"Shannies, Blennies  (Stichaeidae)","Lompénies, Stichées, Ulvaires (Stichaeidae)",Stichaeidae,125566,1
710,Arctic Shanny,Stichée arctique,Stichaeus punctatus,159819,25
711,Fourline Snakeblenny,Quatre-lignes atlantique,Eumesogrammus praecisus,159817,509
715,Slender Eelblenny,Lompénie élancée,Lumpenus fabricii,127073,3
716,Snakeblenny,Lompénie-serpent,Lumpenus lampretaeformis,154675,612
717,Daubed Shanny,Lompénie tachetée,Leptoclinus maculatus,127072,931
718,Stout Eelblenny,Lompénie naine,Anisarchus medius,127070,31
721,Wrymouth,Terrassier tacheté,Cryptacanthodes maculatus,159675,145
722,Aurora pout,unernak aurore,Gymnelus retrodorsalis,,2
725,"Eelpouts, Pouts, Wolf Eels (Zoarcidae)","Lycodes, Loquettes, Molasses (Zoarcidae)",Zoarcidae,125575,5
726,Eelpouts (Lycodes sp.),Lycodes (Lycodes sp.),Lycodes sp.,126104,54
727,Esmark's Eelpout,Lycode d'Esmark,Lycodes esmarkii,127103,83
728,Newfoundland Eelpout,Lycode du Labrador,Lycodes lavalaei,127107,482
729,Arctic Eelpout,Lycode arctique,Lycodes reticulatus,127112,1
730,Vahl's Eelpout,Lycode à carreaux,Lycodes vahlii,127118,798
733,Canadian Eelpout (L. polaris),Lycode polaire (L. polaris),Lycodes polaris,127111,14
734,Atlantic Eelpout,Lycode atlantique,Lycodes terraenovae,127117,78
745,Atlantic Soft Pout,Molasse atlantique,Melanostigma atlanticum,127120,982
746,Fish Doctor,Unernak caméléon,Gymnelus viridis,127096,125
747,Wolf Eels (Lycenchelys sp.),Lycodes (Lycenchelys sp.),Lycenchelys sp.,126103,3
750,Common Wolf Eel,Lycode commune,Lycenchelys paxillus,159257,43
752,Wolf Eelpout,Lycode à tÍte longue,Lycenchelys verrillii,159258,171
783,Butterfish,Stromatée à fossette,Peprilus triacanthus,159828,1
792,Rockfishes (Sebastes sp.),Sébastes (Sebastes sp.),Sebastes sp.,126175,3957
793,Golden Redfish,Sébaste orangé,Sebastes norvegicus,151324,7
797,Blackbelly Rosefish,Chèvre impériale,Helicolenus dactylopterus,127251,11
808,Sculpins (Cottidae),Chaboisseaux (Cottidae),Cottidae,125589,8
809,Sea Sculpin,Hémitriptère atlantique,Hemitripterus americanus,159518,72
810,Hookear Sculpins (Artediellus sp.),Hameçons (Artediellus sp.),Artediellus sp.,126147,110
811,Atlantic Hookear Sculpin,Hameçon atlantique,Artediellus atlanticus,127193,731
812,Arctic Hookear Sculpin,Hameçon neigeux,Artediellus uncinatus,127195,269
813,Mailed Sculpins,Faux-trigles,Triglops sp.,126154,13
814,Moustache Sculpin,Faux-trigle armé,Triglops murrayi,127205,949
815,Bigeye Sculpin,Faux-trigle à grands yeux,Triglops nybelini,127206,15
816,Ribbed Sculpin,Faux-trigle bardé,Triglops pingelii,127207,1
817,Sculpins (Myoxocephalus sp.),Chaboisseaux (Myoxocephalus sp.),Myoxocephalus sp.,126152,7
818,"Little Sculpin, Grubby",Chaboisseau bronzé,Myoxocephalus aenaeus,159519,3
819,Shorthorn Sculpin,Chaboisseau à épines courtes,Myoxocephalus scorpius,127203,563
820,"Longhorn Sculpin, Gray Sculpin",Chaboisseau à dix-huit-épines,Myoxocephalus octodecemspinosus,159520,15
823,Arctic Staghorn Sculpin,Tricorne arctique,Gymnocanthus tricuspis,127198,532
829,Polar Sculpin,Cotte polaire,Cottunculus microps,127235,24
830,Spatulate and Twohorn Sculpin (Icelus sp.),Icèles (Icelus sp.),Icelus sp.,126150,26
831,Twohorn Sculpin,Icèle à deux cornes,Icelus bicornis,127199,101
832,Spatulate Sculpin,Icèle spatulée,Icelus spatula,127200,177
836,Atlantic Poacher,Agone atlantique,Leptagonus decagonus,127191,478
837,Arctic Alligatorfish,Poisson-alligator arctique,Aspidophoroides olrikii,309268,54
838,Alligatorfish,Poisson-alligator atlantique,Aspidophoroides monopterygius,159459,811
844,Atlantic Spiny Lumpsucker (E. spinosus),Petite poule de mer atlantique (E. spinosus),Eumicrotremus spinosus,127217,50
845,Atlantic Spiny Lumpsucker (E. variabilis),Petite poule de mer atlantique (E. variabilis),Eumicrotremus spinosus variabilis,1552956,4
